log_id,ride_id,driver_id,timestamp,decibels,sustained_seconds,audio_score,audio_level,is_flagged
7ffccee8,bcffe6d1,c6af26f4,2026-03-10T17:57:50.669238200,91.8325,0.6722,0.6877,ARGUMENT,true
2ea2d424,bcffe6d1,c6af26f4,2026-03-10T17:58:20.675651600,65.9653,12.8402,0.6784,ARGUMENT,true
01864e15,bcffe6d1,c6af26f4,2026-03-10T17:58:50.668351700,96.3803,17.9283,1.0000,VERY_LOUD,true
ecbea4f5,bcffe6d1,c6af26f4,2026-03-10T17:59:20.676516800,59.4083,10.0444,0.5767,ARGUMENT,true
527ca9a5,bcffe6d1,c6af26f4,2026-03-10T17:59:50.681152500,82.2620,11.2029,0.8565,VERY_LOUD,true
83240b29,bcffe6d1,c6af26f4,2026-03-10T18:00:20.675470200,98.3278,19.6013,1.0000,VERY_LOUD,true
bfd59569,bcffe6d1,c6af26f4,2026-03-10T18:00:50.671609500,64.0099,2.0245,0.4707,CONVERSATIONAL,false
41d30b64,bcffe6d1,c6af26f4,2026-03-10T18:01:20.668858800,60.0803,10.8990,0.5928,ARGUMENT,true
ad8224a4,bcffe6d1,c6af26f4,2026-03-10T18:01:50.673580100,87.1806,6.5570,0.8608,VERY_LOUD,true
7d242d83,bcffe6d1,c6af26f4,2026-03-10T18:02:20.682090100,107.3730,17.1182,1.0000,VERY_LOUD,true
