log_id,driver_id,date,timestamp,current_earnings,elapsed_hours,curr_velocity,required_velocity,velocity_delta,trips_completed,forecast_status
ca71d38d,80ccae83,2026-03-09,2026-03-09T01:41:50.805116746,0.0000,0.0000,0.0000,83.5655,-83.5655,0,CRITICAL
881fd097,80ccae83,2026-03-09,2026-03-09T01:42:20.798086582,0.0000,0.0167,0.0000,83.7989,-83.7989,0,CRITICAL
b8cbaf19,80ccae83,2026-03-09,2026-03-09T01:42:50.798618519,0.0000,0.0167,337.5000,82.8561,254.6439,0,AHEAD
519eb970,80ccae83,2026-03-09,2026-03-09T01:43:20.798099799,0.0000,0.0333,168.7500,83.0882,85.6618,0,AHEAD
658c095b,80ccae83,2026-03-09,2026-03-09T01:43:50.797986710,0.0000,0.0333,337.5000,82.1429,255.3571,0,AHEAD
1dca5dbd,80ccae83,2026-03-09,2026-03-09T01:44:18.676589792,0.0000,0.0333,4725.0000,57.5630,4667.4370,1,AHEAD
48567c8b,80ccae83,2026-03-09,2026-03-09T01:44:18.679116784,157.5000,0.0333,4725.0000,57.5630,4667.4370,1,AHEAD
424b49d3,a69ecc20,2026-03-09,2026-03-09T01:54:30.444890050,0.0000,0.0000,0.0000,125.2610,-125.2610,0,CRITICAL
ad5f767c,a69ecc20,2026-03-09,2026-03-09T01:55:00.445007930,0.0000,0.0000,0.0000,125.2610,-125.2610,0,CRITICAL
f1ab7401,a69ecc20,2026-03-09,2026-03-09T01:55:30.445217773,0.0000,0.0167,335.5962,124.8209,210.7752,0,AHEAD
d6cc2b98,a69ecc20,2026-03-09,2026-03-09T01:56:00.444768690,0.0000,0.0167,335.5962,124.8209,210.7752,0,AHEAD
8f3f3bac,a69ecc20,2026-03-09,2026-03-09T01:56:30.444766488,0.0000,0.0333,335.5962,124.3791,211.2171,0,AHEAD
13db9cc9,a69ecc20,2026-03-09,2026-03-09T01:56:46.510375972,0.0000,0.0333,17451.0000,52.6164,17398.3836,1,AHEAD
94866242,a69ecc20,2026-03-09,2026-03-09T01:56:46.511819410,581.7000,0.0333,17451.0000,52.6164,17398.3836,1,AHEAD
