log_id,driver_id,date,timestamp,current_earnings,elapsed_hours,curr_velocity,required_velocity,velocity_delta,trips_completed,forecast_status
52a0d296,421daea7,2026-03-09,2026-03-09T20:38:56.678860900,0.0000,0.0000,0.0000,626.3048,-626.3048,0,CRITICAL
5dfdc540,421daea7,2026-03-09,2026-03-09T20:39:01.118338900,0.0000,0.0000,0.0000,626.3048,-626.3048,0,CRITICAL
4e472eab,421daea7,2026-03-09,2026-03-09T20:39:31.123171700,0.0000,0.0000,0.0000,626.3048,-626.3048,0,CRITICAL
84fa97d8,421daea7,2026-03-09,2026-03-09T20:40:01.131559500,0.0000,0.0167,362.6087,626.8565,-264.2478,0,CRITICAL
cb038977,421daea7,2026-03-09,2026-03-09T20:40:31.129565400,0.0000,0.0167,362.6087,626.8565,-264.2478,0,CRITICAL
f36cd8e6,421daea7,2026-03-09,2026-03-09T20:41:01.123953700,0.0000,0.0333,362.6087,627.4104,-264.8018,0,CRITICAL
8855a466,421daea7,2026-03-09,2026-03-09T20:41:14.232064500,0.0000,0.0333,4170.0000,611.4465,3558.5535,1,AHEAD
22c7613c,421daea7,2026-03-09,2026-03-09T20:41:14.235065300,139.0000,0.0333,4170.0000,611.4465,3558.5535,1,AHEAD
124b8d3c,421daea7,2026-03-09,2026-03-09T20:41:45.840004100,139.0000,0.0333,4170.0000,611.4465,3558.5535,1,AHEAD
db39f05d,421daea7,2026-03-09,2026-03-09T20:41:57.471997200,139.0000,0.0500,4436.0000,602.2941,3833.7059,2,AHEAD
1b4e4e53,421daea7,2026-03-09,2026-03-09T20:41:57.471997200,221.8000,0.0500,4436.0000,602.2941,3833.7059,2,AHEAD
